"Year","Headline","ConflictTypes","Country","Region","Description","Text","SeverityIndex","ConflictTypeNumeric"
2011,"Yemen damages citizens' water tanks during uprising","Casualty","Yemen","Western Asia","Violence in Yemen's capital Sana'a leads to ""acute water and power shortages, forcing residents to rely on power generators and buy water extracted from wells and sold on a thriving black market."" The violence arose during the Yemeni uprising that occurred during the Arab Spring protests across the Middle East. During the violence, government soldiers shelled neighborhoods and destroyed many rooftop water tanks.","Yemen damages citizens' water tanks during uprising Violence in Yemen's capital Sana'a leads to ""acute water and power shortages, forcing residents to rely on power generators and buy water extracted from wells and sold on a thriving black market."" The violence arose during the Yemeni uprising that occurred during the Arab Spring protests across the Middle East. During the violence, government soldiers shelled neighborhoods and destroyed many rooftop water tanks.",1,2
2012,"Fueling Conflict: Syria's War for Oil and Gas. Syria’s oil and gas resources are too small to be considered a prize in the struggle over the country’s destiny, but energy issues still play an important part in the conflict.","Trigger","Syria","Western Asia","Syria’s oil and gas resources are too small to be considered a prize in the struggle over the country’s destiny, but energy issues still play an important part in the conflict. The regime of Syrian President Bashar al-Assad has had to contend with the loss of export revenue since its oil production collapsed, and it is becoming increasingly reliant on imports, thereby deepening its dependence on Iran.
Rebels fighting the Assad regime have by now taken over several oil fields and processing facilities. While this provides them valuable revenue, it has also sparked conflict between factions. This event contributed to instability in the Middle East and increased oil market uncertainties.
Thus, Saudi Arabia maintained its production levels to ensure market stability","Fueling Conflict: Syria's War for Oil and Gas. Syria<92>s oil and gas resources are too small to be considered a prize in the struggle over the country<92>s destiny, but energy issues still play an important part in the conflict. Syria<92>s oil and gas resources are too small to be considered a prize in the struggle over the country<92>s destiny, but energy issues still play an important part in the conflict. The regime of Syrian President Bashar al-Assad has had to contend with the loss of export revenue since its oil production collapsed, and it is becoming increasingly reliant on imports, thereby deepening its dependence on Iran.
Rebels fighting the Assad regime have by now taken over several oil fields and processing facilities. While this provides them valuable revenue, it has also sparked conflict between factions. This event contributed to instability in the Middle East and increased oil market uncertainties.
Thus, Saudi Arabia maintained its production levels to ensure market stability",2,0
2012,"Assailants fire a mortar round, striking a water facility","Casualty","Iraq","Western Asia","Assailants fire a mortar round, striking a water facility in Mosul city, Nineveh governorate, Iraq. One security guard is killed in the attack, and the facility is damaged. This is one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claims responsibility for the attacks, stating that they are in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons.","Assailants fire a mortar round, striking a water facility Assailants fire a mortar round, striking a water facility in Mosul city, Nineveh governorate, Iraq. One security guard is killed in the attack, and the facility is damaged. This is one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claims responsibility for the attacks, stating that they are in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons.",1,2
2012,"Israel impedes water supply to new West Bank development","Weapon","Palestine","Western Asia","The construction and completion of a billion-dollar new middle-class Palestinian city of Rawabi in the West Bank is slowed and delayed for years while the Israeli government withholds access to basic water supplies. The delay is due, in part, to a larger dispute over the actions of the Israeli-Palestinian Joint Water Committee. In March 2015, the supply of water to Rawabi is finally approved. However, the supply is only sufficient for the 640 families that currently live there; far less than what will be needed for the 25,000 residents that the city will eventually house.","Israel impedes water supply to new West Bank development The construction and completion of a billion-dollar new middle-class Palestinian city of Rawabi in the West Bank is slowed and delayed for years while the Israeli government withholds access to basic water supplies. The delay is due, in part, to a larger dispute over the actions of the Israeli-Palestinian Joint Water Committee. In March 2015, the supply of water to Rawabi is finally approved. However, the supply is only sufficient for the 640 families that currently live there; far less than what will be needed for the 25,000 residents that the city will eventually house.",5,1
2012,"Syrian Civil War battle damages Aleppo pipeline","Casualty","Syria","Western Asia","During the Syrian Civil War, the major pipeline delivering water to the city of Aleppo is badly damaged. The city of three million suffers severe shortages of drinking water.","Syrian Civil War battle damages Aleppo pipeline During the Syrian Civil War, the major pipeline delivering water to the city of Aleppo is badly damaged. The city of three million suffers severe shortages of drinking water.",1,2
2012,"Syrian rebels capture dam","Casualty","Syria","Western Asia","In November, Syrian rebels fighting the government of President Bashar al-Assad overrun government forces and capture the Tishrin hydroelectric dam on the Euphrates River, after days of heavy clashes. The dam supplies electricity to part of Syria and is considered strategically important to the Syrian regime.","Syrian rebels capture dam In November, Syrian rebels fighting the government of President Bashar al-Assad overrun government forces and capture the Tishrin hydroelectric dam on the Euphrates River, after days of heavy clashes. The dam supplies electricity to part of Syria and is considered strategically important to the Syrian regime.",1,2
2012,"Drought contributes to tensions in Syria","Trigger","Syria","Western Asia","Severe political conflict in Syria has been aggravated by the multi-year drought gripping the region. More than 1.5 million people ""mostly farmers and their families"" have moved to cities and their outskirts. In 2008, US diplomats in Syria warn that the influx of rural people to cities ""could act as a multiplier on social and economic pressures already at play and undermine stability in Syria."" Political unrest begins in March 2011 in Dara'a, and soon escalates into civil war as ousters seek to overturn the regime of President Bashar al-Assad and the ruling Ba'ath Party.","Drought contributes to tensions in Syria Severe political conflict in Syria has been aggravated by the multi-year drought gripping the region. More than 1.5 million people ""mostly farmers and their families"" have moved to cities and their outskirts. In 2008, US diplomats in Syria warn that the influx of rural people to cities ""could act as a multiplier on social and economic pressures already at play and undermine stability in Syria."" Political unrest begins in March 2011 in Dara'a, and soon escalates into civil war as ousters seek to overturn the regime of President Bashar al-Assad and the ruling Ba'ath Party.",1,0
2012,"Attack on construction facilities at Turkish dams","Casualty","Turkey","Western Asia","22 trucks are set on fire at dam sites in Turkey, in attacks attributed to Kurdistan Workers' Party (PKK) militants.","Attack on construction facilities at Turkish dams 22 trucks are set on fire at dam sites in Turkey, in attacks attributed to Kurdistan Workers' Party (PKK) militants.",2,2
2013,"Fueling Conflict: Syria's War for Oil and Gas. Syria’s oil and gas resources are too small to be considered a prize in the struggle over the country’s destiny, but energy issues still play an important part in the conflict.","Trigger","Syria","Western Asia","Syria’s oil and gas resources are too small to be considered a prize in the struggle over the country’s destiny, but energy issues still play an important part in the conflict. The regime of Syrian President Bashar al-Assad has had to contend with the loss of export revenue since its oil production collapsed, and it is becoming increasingly reliant on imports, thereby deepening its dependence on Iran.
Rebels fighting the Assad regime have by now taken over several oil fields and processing facilities. While this provides them valuable revenue, it has also sparked conflict between factions. This event contributed to instability in the Middle East and increased oil market uncertainties.
Thus, Saudi Arabia maintained its production levels to ensure market stability","Fueling Conflict: Syria's War for Oil and Gas. Syria<92>s oil and gas resources are too small to be considered a prize in the struggle over the country<92>s destiny, but energy issues still play an important part in the conflict. Syria<92>s oil and gas resources are too small to be considered a prize in the struggle over the country<92>s destiny, but energy issues still play an important part in the conflict. The regime of Syrian President Bashar al-Assad has had to contend with the loss of export revenue since its oil production collapsed, and it is becoming increasingly reliant on imports, thereby deepening its dependence on Iran.
Rebels fighting the Assad regime have by now taken over several oil fields and processing facilities. While this provides them valuable revenue, it has also sparked conflict between factions. This event contributed to instability in the Middle East and increased oil market uncertainties.
Thus, Saudi Arabia maintained its production levels to ensure market stability",2,0
2013,"Water project employees kidnapped in Iraq","Casualty","Iraq","Western Asia","Four water project employees are kidnapped by assailants dressed as police officers. The outcome of the kidnapping is unknown and no group has claimed responsibility for the incident.","Water project employees kidnapped in Iraq Four water project employees are kidnapped by assailants dressed as police officers. The outcome of the kidnapping is unknown and no group has claimed responsibility for the incident.",1,2
2013,"Water shortage causes riots in Jordan","Trigger","Jordan","Western Asia","The Syrian civil war and the displacement of refugees into Jordan contribute to a growing water supply crisis. In summer 2013, riots associated with water shortages are reported by the director of water utilities in Jordan's Mafraq governorate. He notes, ""Mafraq was on fire. People burned tires in the street and closed the roads. There was tension over water in the past, but the Syria crisis has made it much worse.""","Water shortage causes riots in Jordan The Syrian civil war and the displacement of refugees into Jordan contribute to a growing water supply crisis. In summer 2013, riots associated with water shortages are reported by the director of water utilities in Jordan's Mafraq governorate. He notes, ""Mafraq was on fire. People burned tires in the street and closed the roads. There was tension over water in the past, but the Syria crisis has made it much worse.""",1,0
2013,"Blockade causes shutdown of Gaza wastewater treatment plant","Casualty","Palestine","Western Asia","An Egyptian and Israel blockade of Gaza cut fuel supplies and causes a shutdown of Gaza's wastewater treatment plants, leading to massive overflow of sewage.","Blockade causes shutdown of Gaza wastewater treatment plant An Egyptian and Israel blockade of Gaza cut fuel supplies and causes a shutdown of Gaza's wastewater treatment plants, leading to massive overflow of sewage.",2,2
2013,"Israel impedes water supply to new West Bank development","Weapon","Palestine","Western Asia","The construction and completion of a billion-dollar new middle-class Palestinian city of Rawabi in the West Bank is slowed and delayed for years while the Israeli government withholds access to basic water supplies. The delay is due, in part, to a larger dispute over the actions of the Israeli-Palestinian Joint Water Committee. In March 2015, the supply of water to Rawabi is finally approved. However, the supply is only sufficient for the 640 families that currently live there; far less than what will be needed for the 25,000 residents that the city will eventually house.","Israel impedes water supply to new West Bank development The construction and completion of a billion-dollar new middle-class Palestinian city of Rawabi in the West Bank is slowed and delayed for years while the Israeli government withholds access to basic water supplies. The delay is due, in part, to a larger dispute over the actions of the Israeli-Palestinian Joint Water Committee. In March 2015, the supply of water to Rawabi is finally approved. However, the supply is only sufficient for the 640 families that currently live there; far less than what will be needed for the 25,000 residents that the city will eventually house.",5,1
2013,"Armed gang sabotages main water pipeline in Yemen","Casualty","Yemen","Western Asia","An armed gang sabotages the main water pipeline from Sana'a to Ta'izz in al Hawjila, Ta'izz governorate on June 23.","Armed gang sabotages main water pipeline in Yemen An armed gang sabotages the main water pipeline from Sana'a to Ta'izz in al Hawjila, Ta'izz governorate on June 23.",3,2
2013,"Violence escalates over water in Yemen","Trigger","Yemen","Western Asia","The dwindling water supply from shared mountain springs leads to growing violence between Marzouh and Qaradh, Yemen. At least six deaths occur and many more are wounded in clashes since 2000. ""Wherever in Yemen you see aquifers depleting, you have the worst conflicts,"" said Abdul Rahman al-Eryani, former minister for water and environment, Yemen.","Violence escalates over water in Yemen The dwindling water supply from shared mountain springs leads to growing violence between Marzouh and Qaradh, Yemen. At least six deaths occur and many more are wounded in clashes since 2000. ""Wherever in Yemen you see aquifers depleting, you have the worst conflicts,"" said Abdul Rahman al-Eryani, former minister for water and environment, Yemen.",3,0
2014,"The Yemen War: An Underestimated Risk For Oil Prices","Weapon","Yemen","Western Asia","The Yemen war has been described by the UN as the world’s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021","The Yemen War: An Underestimated Risk For Oil Prices The Yemen war has been described by the UN as the world<92>s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021",3,1
2014,"The Yemen War: An Underestimated Risk For Oil Prices","Casualty","Yemen","Western Asia","The Yemen war has been described by the UN as the world’s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021","The Yemen War: An Underestimated Risk For Oil Prices The Yemen war has been described by the UN as the world<92>s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021",3,2
2014,"Fueling Conflict: Syria's War for Oil and Gas. Syria’s oil and gas resources are too small to be considered a prize in the struggle over the country’s destiny, but energy issues still play an important part in the conflict.","Trigger","Syria","Western Asia","Syria’s oil and gas resources are too small to be considered a prize in the struggle over the country’s destiny, but energy issues still play an important part in the conflict. The regime of Syrian President Bashar al-Assad has had to contend with the loss of export revenue since its oil production collapsed, and it is becoming increasingly reliant on imports, thereby deepening its dependence on Iran.
Rebels fighting the Assad regime have by now taken over several oil fields and processing facilities. While this provides them valuable revenue, it has also sparked conflict between factions. This event contributed to instability in the Middle East and increased oil market uncertainties.
Thus, Saudi Arabia maintained its production levels to ensure market stability","Fueling Conflict: Syria's War for Oil and Gas. Syria<92>s oil and gas resources are too small to be considered a prize in the struggle over the country<92>s destiny, but energy issues still play an important part in the conflict. Syria<92>s oil and gas resources are too small to be considered a prize in the struggle over the country<92>s destiny, but energy issues still play an important part in the conflict. The regime of Syrian President Bashar al-Assad has had to contend with the loss of export revenue since its oil production collapsed, and it is becoming increasingly reliant on imports, thereby deepening its dependence on Iran.
Rebels fighting the Assad regime have by now taken over several oil fields and processing facilities. While this provides them valuable revenue, it has also sparked conflict between factions. This event contributed to instability in the Middle East and increased oil market uncertainties.
Thus, Saudi Arabia maintained its production levels to ensure market stability",2,0
2014,"Islamic State forces take control of Mosul Dam","Casualty","Iraq","Western Asia","Mosul Dam in Iraq is taken over by Islamic State in Iraq and the Levant (ISIL) forces in August 2014. Over the next several weeks, Kurdish and US forces attack ISIS/ISIL in the region and retake control of the dam.","Islamic State forces take control of Mosul Dam Mosul Dam in Iraq is taken over by Islamic State in Iraq and the Levant (ISIL) forces in August 2014. Over the next several weeks, Kurdish and US forces attack ISIS/ISIL in the region and retake control of the dam.",3,2
2014,"Attack on water construction project in Iraq","Casualty","Iraq","Western Asia","Shots are fired at a checkpoint for an Iranian company working on a water project south of Kirkuk, Iraq.","Attack on water construction project in Iraq Shots are fired at a checkpoint for an Iranian company working on a water project south of Kirkuk, Iraq.",3,2
2014,"Bombing injures two at water project in Iraq","Casualty","Iraq","Western Asia","Two people are injured when a bomb explodes near the center of the city Tuz Khurmatu at the town's water project.","Bombing injures two at water project in Iraq Two people are injured when a bomb explodes near the center of the city Tuz Khurmatu at the town's water project.",2,2
2014,"Multiple water projects are attacked in Iraq","Casualty","Iraq","Western Asia","In less than a week, several water projects are the targets of explosives, killing six employees of one of the water projects and damaging the infrastructure in Al-Shirqat District, Saladin Governorate, and Mushirfah, Nineveh Governorate, Iraq.","Multiple water projects are attacked in Iraq In less than a week, several water projects are the targets of explosives, killing six employees of one of the water projects and damaging the infrastructure in Al-Shirqat District, Saladin Governorate, and Mushirfah, Nineveh Governorate, Iraq.",2,2
2014,"Water purification plant in Fallujah attacked","Casualty","Iraq","Western Asia","At least two people die from a blast at a water purification plant in the city of Fallujah, in Al Anbar Province. More than 20 people are hospitalized from chlorine poisoning from the destruction of a water-purification chemical storage facility.","Water purification plant in Fallujah attacked At least two people die from a blast at a water purification plant in the city of Fallujah, in Al Anbar Province. More than 20 people are hospitalized from chlorine poisoning from the destruction of a water-purification chemical storage facility.",4,2
2014,"Haditha Dam on the Euphrates River is attacked","Casualty","Iraq","Western Asia","Reports from a military spokesperson from Iraq say secuirty forces fought off militant groups trying to sieze Haditha and a nearby dam on the Euphrates River. 40 militants are killed by the security forces.","Haditha Dam on the Euphrates River is attacked Reports from a military spokesperson from Iraq say secuirty forces fought off militant groups trying to sieze Haditha and a nearby dam on the Euphrates River. 40 militants are killed by the security forces.",3,2
2014,"At least 30 people reported killed in attack on Hadithah Dam, Iraq","Casualty","Iraq","Western Asia","At least 30 people are reported killed during an attack on a dam in the Hadithah area of Iraq. No group claims responsibility for the attack but it is thought to have been carried out by Islamic State.","At least 30 people reported killed in attack on Hadithah Dam, Iraq At least 30 people are reported killed during an attack on a dam in the Hadithah area of Iraq. No group claims responsibility for the attack but it is thought to have been carried out by Islamic State.",3,2
2014,"Islamic State uses Falluja Dam as a weapon","Weapon","Iraq","Western Asia","Islamic State closes the Fallujah Dam floodgates and diverts water over an irrigation channel into a side valley, inundating land up to 100km away and placing parts of the city of Abu Ghraib under up to four meters of water. More than 10,000 houses and 200 square kilometers of farmland are flooded and extensive livestock killed. Water for millions of people in the cities of Karbala, Najaf, and Babil is cut off for a time.","Islamic State uses Falluja Dam as a weapon Islamic State closes the Fallujah Dam floodgates and diverts water over an irrigation channel into a side valley, inundating land up to 100km away and placing parts of the city of Abu Ghraib under up to four meters of water. More than 10,000 houses and 200 square kilometers of farmland are flooded and extensive livestock killed. Water for millions of people in the cities of Karbala, Najaf, and Babil is cut off for a time.",3,1
2014,"Islamic State blocks access to water","Weapon","Iraq","Western Asia","In Iraq, Islamic State blocks access to water in the predominantly Christian town of Qaraqosh (also known as Bakhdida), take over farms and agricultural land, and expel most of the 50,000 residents.","Islamic State blocks access to water In Iraq, Islamic State blocks access to water in the predominantly Christian town of Qaraqosh (also known as Bakhdida), take over farms and agricultural land, and expel most of the 50,000 residents.",3,1
2014,"Insurgents seize Falluja Dam","Weapon","Iraq","Western Asia","Insurgents from Islamic State in Iraq and the Levant (ISIL) seize the Fallujah Dam in Iraq and close the floodgates to cause upstream flooding and to cut downstream water supply. The objective is to flood the area around the city of Fallujah to force government troops to retreat and lift a siege, while cutting water supplies and hydroelectricity generation for other parts of the country.","Insurgents seize Falluja Dam Insurgents from Islamic State in Iraq and the Levant (ISIL) seize the Fallujah Dam in Iraq and close the floodgates to cause upstream flooding and to cut downstream water supply. The objective is to flood the area around the city of Fallujah to force government troops to retreat and lift a siege, while cutting water supplies and hydroelectricity generation for other parts of the country.",2,1
2014,"Insurgents seize Falluja Dam","Casualty","Iraq","Western Asia","Insurgents from Islamic State in Iraq and the Levant (ISIL) seize the Fallujah Dam in Iraq and close the floodgates to cause upstream flooding and to cut downstream water supply. The objective is to flood the area around the city of Fallujah to force government troops to retreat and lift a siege, while cutting water supplies and hydroelectricity generation for other parts of the country.","Insurgents seize Falluja Dam Insurgents from Islamic State in Iraq and the Levant (ISIL) seize the Fallujah Dam in Iraq and close the floodgates to cause upstream flooding and to cut downstream water supply. The objective is to flood the area around the city of Fallujah to force government troops to retreat and lift a siege, while cutting water supplies and hydroelectricity generation for other parts of the country.",2,2
2014,"Islamic State fighters advance on Haditha Dam","Weapon","Iraq","Western Asia","Iraqi officials report that fighters with the Islamic State in Iraq and the Levant (ISIL) are advancing on the Haditha Dam, the second-largest in Iraq, raising the possibility of catastrophic damage and flooding. The ISIL militants are fighting for control of the Euphrates River dam, about 120 miles northwest of Baghdad and government forces were fighting to halt their advance. Army officers tell employees to stay inside and to be prepared to open the dam's floodgates if ordered to do so, one employee said.","Islamic State fighters advance on Haditha Dam Iraqi officials report that fighters with the Islamic State in Iraq and the Levant (ISIL) are advancing on the Haditha Dam, the second-largest in Iraq, raising the possibility of catastrophic damage and flooding. The ISIL militants are fighting for control of the Euphrates River dam, about 120 miles northwest of Baghdad and government forces were fighting to halt their advance. Army officers tell employees to stay inside and to be prepared to open the dam's floodgates if ordered to do so, one employee said.",3,1
2014,"Islamic State fighters advance on Haditha Dam","Casualty","Iraq","Western Asia","Iraqi officials report that fighters with the Islamic State in Iraq and the Levant (ISIL) are advancing on the Haditha Dam, the second-largest in Iraq, raising the possibility of catastrophic damage and flooding. The ISIL militants are fighting for control of the Euphrates River dam, about 120 miles northwest of Baghdad and government forces were fighting to halt their advance. Army officers tell employees to stay inside and to be prepared to open the dam's floodgates if ordered to do so, one employee said.","Islamic State fighters advance on Haditha Dam Iraqi officials report that fighters with the Islamic State in Iraq and the Levant (ISIL) are advancing on the Haditha Dam, the second-largest in Iraq, raising the possibility of catastrophic damage and flooding. The ISIL militants are fighting for control of the Euphrates River dam, about 120 miles northwest of Baghdad and government forces were fighting to halt their advance. Army officers tell employees to stay inside and to be prepared to open the dam's floodgates if ordered to do so, one employee said.",3,2
2014,"U.S.-led coalition launches airstrikes to protect dams from ISIS","Weapon","Iraq","Western Asia","A U.S.-led coalition launches a series of air strikes against targets of the Islamic State in Iraq and the Levant (ISIL) in areas around Mosul Dam, Fallujah Dam, and Haditha Dam in Iraq. U.S. aircraft destroy an ISIL-built earthen berm near the Fallujah Dam. This berm was built by ISIL to control downstream water supplies and to increase the flow of the Euphrates River into Abu Ghraib canals, flooding local Shiite neighborhoods in east Fallujah and forcing the locals to evacuate.","U.S.-led coalition launches airstrikes to protect dams from ISIS A U.S.-led coalition launches a series of air strikes against targets of the Islamic State in Iraq and the Levant (ISIL) in areas around Mosul Dam, Fallujah Dam, and Haditha Dam in Iraq. U.S. aircraft destroy an ISIL-built earthen berm near the Fallujah Dam. This berm was built by ISIL to control downstream water supplies and to increase the flow of the Euphrates River into Abu Ghraib canals, flooding local Shiite neighborhoods in east Fallujah and forcing the locals to evacuate.",4,1
2014,"U.S.-led coalition launches airstrikes to protect dams from ISIS","Casualty","Iraq","Western Asia","A U.S.-led coalition launches a series of air strikes against targets of the Islamic State in Iraq and the Levant (ISIL) in areas around Mosul Dam, Fallujah Dam, and Haditha Dam in Iraq. U.S. aircraft destroy an ISIL-built earthen berm near the Fallujah Dam. This berm was built by ISIL to control downstream water supplies and to increase the flow of the Euphrates River into Abu Ghraib canals, flooding local Shiite neighborhoods in east Fallujah and forcing the locals to evacuate.","U.S.-led coalition launches airstrikes to protect dams from ISIS A U.S.-led coalition launches a series of air strikes against targets of the Islamic State in Iraq and the Levant (ISIL) in areas around Mosul Dam, Fallujah Dam, and Haditha Dam in Iraq. U.S. aircraft destroy an ISIL-built earthen berm near the Fallujah Dam. This berm was built by ISIL to control downstream water supplies and to increase the flow of the Euphrates River into Abu Ghraib canals, flooding local Shiite neighborhoods in east Fallujah and forcing the locals to evacuate.",4,2
2014,"Islamic State destroys water wells, pumps, and pipes in agricultural regions in Iraq","Casualty","Iraq","Western Asia","Farmers returning to their land in northwestern Iraq after the Islamic State (ISIS/ISIL) find widespread devastation to agricultural land, livestock, and machinery, including water pumps, wells, pipes and generators. One assessment by the Iraq Food and Security Cluster Partnership notes that of the 450 deep wells, only 50 are still useable. Another assessment by Amnesty International details the destruction of wells on the properties of more than 30 different farmers from across the country.","Islamic State destroys water wells, pumps, and pipes in agricultural regions in Iraq Farmers returning to their land in northwestern Iraq after the Islamic State (ISIS/ISIL) find widespread devastation to agricultural land, livestock, and machinery, including water pumps, wells, pipes and generators. One assessment by the Iraq Food and Security Cluster Partnership notes that of the 450 deep wells, only 50 are still useable. Another assessment by Amnesty International details the destruction of wells on the properties of more than 30 different farmers from across the country.",5,2
2014,"Israel damages water and wastewater systems in Gaza","Casualty","Palestine","Western Asia","During the 2014 Israel-Gaza conflict, Gaza's water infrastructure is heavily damaged. The World Health Organization and other aid groups report that a water facility, wastewater treatment plants, and a desalination facility are damaged by Israeli military action. Moreover, electricity shortages impede the ability of the remaining wastewater treatment plants to function effectively.","Israel damages water and wastewater systems in Gaza During the 2014 Israel-Gaza conflict, Gaza's water infrastructure is heavily damaged. The World Health Organization and other aid groups report that a water facility, wastewater treatment plants, and a desalination facility are damaged by Israeli military action. Moreover, electricity shortages impede the ability of the remaining wastewater treatment plants to function effectively.",3,2
2014,"Palestinian water supply and wastewater system hit by Israeli war planes","Casualty","Palestine","Western Asia","Israeli warplanes hit water supply wells, pipelines, and wastewater treatment plants servicing hundreds of thousands of Palestinians in the Gaza region. Palestinian officials state that the attacks intentionally targeted the infrastructure, mounting a a war crime under the Geneva Protocol.","Palestinian water supply and wastewater system hit by Israeli war planes Israeli warplanes hit water supply wells, pipelines, and wastewater treatment plants servicing hundreds of thousands of Palestinians in the Gaza region. Palestinian officials state that the attacks intentionally targeted the infrastructure, mounting a a war crime under the Geneva Protocol.",2,2
2014,"Israel impedes water supply to new West Bank development","Weapon","Palestine","Western Asia","The construction and completion of a billion-dollar new middle-class Palestinian city of Rawabi in the West Bank is slowed and delayed for years while the Israeli government withholds access to basic water supplies. The delay is due, in part, to a larger dispute over the actions of the Israeli-Palestinian Joint Water Committee. In March 2015, the supply of water to Rawabi is finally approved. However, the supply is only sufficient for the 640 families that currently live there; far less than what will be needed for the 25,000 residents that the city will eventually house.","Israel impedes water supply to new West Bank development The construction and completion of a billion-dollar new middle-class Palestinian city of Rawabi in the West Bank is slowed and delayed for years while the Israeli government withholds access to basic water supplies. The delay is due, in part, to a larger dispute over the actions of the Israeli-Palestinian Joint Water Committee. In March 2015, the supply of water to Rawabi is finally approved. However, the supply is only sufficient for the 640 families that currently live there; far less than what will be needed for the 25,000 residents that the city will eventually house.",5,1
2014,"Government reportedly bombs pumping stations in Aleppo, Syria","Casualty","Syria","Western Asia","The water supply for the Syrian city of Aleppo is cut off in both regime and opposition-controlled areas. The city's water pumping stations are bombed, reportedly by the government, as are water distribution networks in opposition-controlled areas. In return, the Syrian Ministry of Foreign Affairs blames opposition forces for the water crisis.","Government reportedly bombs pumping stations in Aleppo, Syria The water supply for the Syrian city of Aleppo is cut off in both regime and opposition-controlled areas. The city's water pumping stations are bombed, reportedly by the government, as are water distribution networks in opposition-controlled areas. In return, the Syrian Ministry of Foreign Affairs blames opposition forces for the water crisis.",1,2
2014,"Free Syrian Army cuts off water supply to Wadi Barada","Weapon","Syria","Western Asia","Syrian government forces are driven out of Wadi Barada's villages after the Free Syrian Army (FSA) cuts off water supply from Ain al-Fijah, a major spring serving the Damascus area.","Free Syrian Army cuts off water supply to Wadi Barada Syrian government forces are driven out of Wadi Barada's villages after the Free Syrian Army (FSA) cuts off water supply from Ain al-Fijah, a major spring serving the Damascus area.",4,1
2014,"Islamic State contaminates drinking water supplies, Syria","Weapon","Syria, Iraq","Western Asia","Islamic State deliberately contaminates drinking water with crude oil in the Balad district of the Salahaddin Governorate. Poisoned water supplies are also reported from Aleppo, Deir ez Zor, Raqqa, and  Baghdad.","Islamic State contaminates drinking water supplies, Syria Islamic State deliberately contaminates drinking water with crude oil in the Balad district of the Salahaddin Governorate. Poisoned water supplies are also reported from Aleppo, Deir ez Zor, Raqqa, and  Baghdad.",2,1
2014,"Hydroelectric power plant is attacked","Casualty","Turkey","Western Asia","A hydroelectric power plant in Kars Province, Turkey is attacked by the Kurdistan Workers' Party. Three attackers are killed. The next day, three off-duty Turkish soldiers are killed in retribution.","Hydroelectric power plant is attacked A hydroelectric power plant in Kars Province, Turkey is attacked by the Kurdistan Workers' Party. Three attackers are killed. The next day, three off-duty Turkish soldiers are killed in retribution.",2,2
2014,"Ukraine accused of cutting water supply","Weapon","Ukraine, Crimea","Western Asia","After Russia annexes Crimea from the Ukraine, they accuse the Ukraine of cutting off the water supply in the North Crimea Canal, leading to a water shortage for Crimea's agricultural fields growing grapes, rice, maize, and soya. The canal delivers water from the Dnieper River in southern Ukraine and accounts for 80% of Crimea's water supply. The Ukraine government denies any political motive for the cut in supply, describing the reduced flow as a temporary result of building a flow structure to measure water deliveries.","Ukraine accused of cutting water supply After Russia annexes Crimea from the Ukraine, they accuse the Ukraine of cutting off the water supply in the North Crimea Canal, leading to a water shortage for Crimea's agricultural fields growing grapes, rice, maize, and soya. The canal delivers water from the Dnieper River in southern Ukraine and accounts for 80% of Crimea's water supply. The Ukraine government denies any political motive for the cut in supply, describing the reduced flow as a temporary result of building a flow structure to measure water deliveries.",3,1
2015,"An Iran nuclear deal revival could dramatically alter oil prices — if it happens","Trigger","Iran","Western Asia","“Should the nuclear deal be revived, 1-2 million barrels per day of extra oil could hit the market in a comparatively short period of time,” one commodities analyst told CNBC. Iranian negotiators in mid-August expressed optimism about the prospects for an agreement, with one advisor saying “we’re closer than we’ve been before” to securing a deal. But so far, it seems there are a few remaining sticking points that are proving difficult to resolve. The Iran Nuclear Deal and subsequent sanctions imposed on Iran initiated geopolitical tensions.","An Iran nuclear deal revival could dramatically alter oil prices <97> if it happens <93>Should the nuclear deal be revived, 1-2 million barrels per day of extra oil could hit the market in a comparatively short period of time,<94> one commodities analyst told CNBC. Iranian negotiators in mid-August expressed optimism about the prospects for an agreement, with one advisor saying <93>we<92>re closer than we<92>ve been before<94> to securing a deal. But so far, it seems there are a few remaining sticking points that are proving difficult to resolve. The Iran Nuclear Deal and subsequent sanctions imposed on Iran initiated geopolitical tensions.",6,0
